OJECTID,títle,creator,type,dimensiones,date,format,producción,distribución,location,latitude,longitude,Filename 
GZT_DOC161,"Bogotá (la desmesura, a Melville)",Gustavo Zalamea,Tarjeta postal,"11x15,5 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Monserrate,4.5962015,-74.0640615,GZT_DOC161.JPG
GZT_DOC162,El mar en la plaza,Gustavo Zalamea,Tarjeta postal,"11x15,5 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Plaza de Bolívar,4.5963704,-74.0760387,GZT_DOC162.JPG
GZT_DOC163,San Jorge y Monserrate,Gustavo Zalamea,Tarjeta postal,"11x15,5 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Monserrate,4.5949595,-74.0556611,GZT_DOC163.JPG
GZT_DOC164,Escuadra (el ritmo de las montañas),Gustavo Zalamea,Tarjeta postal,"11x15,5 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Monserrate,4.587295,-74.030631,GZT_DOC164.JPG
GZT_DOC165,Cortina azul y edificio Colpatria-Pisa vistos desde la estación de la sabana,Gustavo Zalamea,Tarjeta postal,"11x15,5 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Edificio Colpatria,4.6110805,-74.0717681,GZT_DOC165.JPG
GZT_DOC166,"Congreso – Titanic
 (El hundimiento del congreso)
 Litografía publicada en La Prensa. (11 de mayo de 1991, versión en blanco y negro) y en El Tiempo (9 de Junio de 1991, versión a color)",Gustavo Zalamea,Tarjeta postal,"11x15,5 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Congreso de la República,4.5962002,-74.0767726,GZT_DOC166.JPG
GZT_DOC167,Huevo de Condor Gigante (Avenida El Dorado con Avenida Boyacá),Gustavo Zalamea,Tarjeta postal,"15,5x11 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Avenida el Dorado con Avenida Boyacá,4.666513,-74.1137347,GZT_DOC167.JPG
GZT_DOC168,Rio Chapinero,Gustavo Zalamea,Tarjeta postal,"11x15,5 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Chapinero,4.6496279,-74.0632791,GZT_DOC168.JPG
GZT_DOC169,Palacio de Justicia Documento,Gustavo Zalamea,Tarjeta postal,"11x15,5 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Palacio de Justicia,4.5982529,-74.0760914,GZT_DOC169.JPG
GZT_DOC170,Mástiles,Gustavo Zalamea,Tarjeta postal,"10,5x15 cms",1994,image/jpeg,Jaime Vargas,Taller Arte 2 Gráfico,Cerros orientales,4.5767383,-74.0698257,GZT_DOC170.JPG
